matchId,teamId,passes_total,passes_accurate,long_balls,final_third_entries,box_entries,wide_actions,defensive_duels,high_press_actions,set_pieces,shots_total,goals,avg_pass_distance_m,avg_forward_progress,league_code,pass_accuracy_pct,long_ball_pct,wide_action_pct,high_press_pct
2499719,1609,606,513,95,108,36,409,58,18,43,27,4,20.6764198238196,0.9144329896907216,England,84.65346534653465,15.676567656765677,67.49174917491749,31.03448275862069
2499719,1631,230,166,62,50,19,169,80,24,62,7,3,19.53348973433563,4.126182965299685,England,72.17391304347827,26.956521739130434,73.47826086956522,30.0
2499720,1625,754,682,90,112,51,502,41,20,39,12,1,17.340299534775593,2.9699321047526674,England,90.45092838196287,11.936339522546419,66.57824933687002,48.78048780487805
2499720,1651,184,124,46,29,7,127,53,2,37,6,0,21.19084850303749,4.83297180043384,England,67.3913043478261,25.0,69.02173913043478,3.7735849056603774
2499721,1610,516,454,92,68,37,352,44,14,36,15,2,20.29855095411614,1.5011792452830188,England,87.98449612403101,17.829457364341085,68.21705426356588,31.818181818181817
2499721,1646,296,245,56,40,18,193,60,15,39,9,3,20.368538789077274,4.179321486268175,England,82.77027027027027,18.91891891891892,65.2027027027027,25.0
2499722,1628,370,291,84,61,30,232,53,9,53,11,0,20.282432143762904,2.95,England,78.64864864864865,22.702702702702705,62.70270270270271,16.9811320754717
2499722,1673,273,194,59,47,13,194,107,23,53,8,2,18.49770350610318,4.091190108191654,England,71.06227106227107,21.611721611721613,71.06227106227107,21.49532710280374
2499723,1623,482,406,90,56,30,342,79,16,52,8,1,19.06698275135392,3.3147502903600463,England,84.23236514522821,18.672199170124482,70.95435684647303,20.253164556962027
2499723,1639,267,205,62,56,31,183,49,12,56,10,0,18.196784628914607,4.822900763358779,England,76.77902621722846,23.220973782771537,68.53932584269663,24.489795918367346
2499724,1611,463,404,82,58,35,337,58,19,43,21,4,20.592174146626107,1.3956043956043955,England,87.25701943844493,17.71058315334773,72.78617710583153,32.758620689655174
2499724,1633,362,306,76,53,20,244,80,17,41,7,0,19.622979105711952,3.307913669064748,England,84.5303867403315,20.994475138121548,67.40331491712708,21.25
2499725,1613,228,160,58,40,19,159,64,16,47,5,0,19.96899228168601,4.072727272727272,England,70.17543859649122,25.438596491228072,69.73684210526315,25.0
2499725,1624,692,630,80,91,34,501,65,24,44,17,2,17.895974355587335,2.8412098298676747,England,91.04046242774567,11.560693641618498,72.39884393063583,36.92307692307693
2499726,1619,507,427,77,65,53,354,49,17,49,25,0,21.237689079381315,0.49387254901960786,England,84.22090729783037,15.187376725838265,69.8224852071006,34.69387755102041
2499726,10531,330,278,68,45,8,224,60,20,38,4,0,20.443096876604805,3.1640625,England,84.24242424242424,20.606060606060606,67.87878787878789,33.33333333333333
2499727,1612,447,360,77,63,32,280,70,14,45,12,2,18.746790633607638,4.423809523809524,England,80.53691275167785,17.225950782997764,62.639821029082775,20.0
2499727,1644,377,290,91,77,20,260,71,25,50,8,3,20.51737061834996,3.452755905511811,England,76.92307692307693,24.137931034482758,68.96551724137932,35.2112676056338
2499728,1627,235,166,72,51,23,168,61,12,48,16,1,22.97737240492281,3.5992779783393503,England,70.63829787234043,30.638297872340424,71.48936170212767,19.672131147540984
2499728,1659,596,534,78,69,36,437,35,4,35,8,0,19.582245649271332,2.6975169300225734,England,89.59731543624162,13.087248322147651,73.3221476510067,11.428571428571429
2499729,1644,347,270,103,66,34,271,74,24,44,17,2,25.484360924870263,4.100139082058415,England,77.80979827089337,29.68299711815562,78.09798270893373,32.432432432432435
2499729,1659,418,332,88,56,32,272,57,22,53,7,0,23.39623590196008,0.9654696132596685,England,79.42583732057416,21.052631578947366,65.07177033492823,38.59649122807017
2499730,1627,188,131,62,47,10,135,38,22,62,6,1,22.42916043479705,7.160469667318982,England,69.68085106382979,32.97872340425532,71.80851063829788,57.89473684210527
2499730,1646,468,393,110,86,30,351,54,21,44,17,0,23.300286707213573,2.721105527638191,England,83.97435897435898,23.504273504273502,75.0,38.88888888888889
2499731,1613,375,287,78,68,25,258,55,24,54,11,0,20.611338330747156,3.6905405405405407,England,76.53333333333333,20.8,68.8,43.63636363636363
2499731,1673,420,341,89,47,21,321,77,23,44,6,1,20.871466164778827,2.5789473684210527,England,81.19047619047619,21.19047619047619,76.42857142857142,29.87012987012987
2499732,1631,413,339,95,67,20,290,49,12,37,13,2,23.38482306430272,3.3693430656934305,England,82.08232445520581,23.002421307506054,70.2179176755448,24.489795918367346
2499732,1651,511,436,122,83,23,385,54,18,36,5,0,22.803380918108154,4.560664112388251,England,85.32289628180038,23.874755381604697,75.34246575342466,33.33333333333333
2499733,1612,688,589,111,112,42,505,59,20,48,22,1,21.13788966107625,1.5545893719806763,England,85.61046511627907,16.13372093023256,73.40116279069767,33.89830508474576
2499733,1628,250,182,82,59,19,131,62,20,45,3,0,22.68019915213167,5.2184300341296925,England,72.8,32.800000000000004,52.400000000000006,32.25806451612903
2499734,1623,276,200,70,54,11,189,70,15,52,7,1,23.26213431678619,4.100826446280991,England,72.46376811594203,25.36231884057971,68.47826086956522,21.428571428571427
2499734,1625,521,452,101,66,43,370,34,11,49,18,1,21.97541239800993,1.5180023228803716,England,86.75623800383877,19.385796545105567,71.0172744721689,32.35294117647059
2499735,1609,713,627,105,107,54,486,50,21,42,18,0,19.78478181741832,3.6461684011352884,England,87.9382889200561,14.726507713884992,68.16269284712483,42.0
2499735,1639,181,128,52,38,13,115,73,14,38,9,1,26.06037840129496,4.998076923076923,England,70.71823204419888,28.7292817679558,63.53591160220995,19.17808219178082
2499736,1611,571,506,63,76,26,386,69,28,39,16,4,18.47983019340817,2.6456776947705443,England,88.61646234676007,11.033274956217163,67.60070052539405,40.57971014492754
2499736,10531,398,329,72,47,16,259,82,19,41,7,0,20.00358380842176,2.1543810848400557,England,82.66331658291458,18.090452261306535,65.07537688442211,23.170731707317074
2499737,1610,249,190,60,35,18,169,92,22,28,7,1,22.843249755096533,3.650943396226415,England,76.30522088353415,24.096385542168676,67.8714859437751,23.91304347826087
2499737,1624,569,486,91,91,32,376,52,18,51,17,0,21.698640358930934,0.24408602150537634,England,85.41300527240774,15.992970123022848,66.08084358523726,34.61538461538461
2499738,1619,385,301,59,61,20,279,74,26,49,8,0,16.80848010809683,4.310391363022942,England,78.18181818181819,15.324675324675324,72.46753246753246,35.13513513513514
2499738,1633,352,265,74,52,23,273,65,17,62,11,3,18.148606493993846,3.297260273972603,England,75.2840909090909,21.022727272727273,77.55681818181817,26.153846153846157
2499739,1625,606,524,93,85,48,399,59,29,49,17,2,18.510937029291327,3.9060665362035225,England,86.46864686468648,15.346534653465346,65.84158415841584,49.152542372881356
2499739,1659,223,162,53,31,16,144,70,14,48,9,1,20.84026643924621,4.477891156462585,England,72.6457399103139,23.766816143497756,64.57399103139014,20.0
2499740,1610,563,493,92,68,39,367,45,15,44,18,2,20.876711202345543,2.1050279329608936,England,87.56660746003553,16.341030195381883,65.18650088809946,33.33333333333333
2499740,1623,419,348,81,57,16,247,66,12,39,7,0,20.778754235493352,4.209103840682788,England,83.05489260143199,19.331742243436754,58.94988066825776,18.181818181818183
2499741,1628,480,416,89,73,28,346,51,17,38,15,0,24.011993023045672,2.6131025957972804,England,86.66666666666667,18.541666666666668,72.08333333333333,33.33333333333333
2499741,10531,438,369,106,62,8,308,54,19,46,6,2,22.609560614241605,4.088741721854305,England,84.24657534246576,24.200913242009133,70.31963470319634,35.18518518518518
2499742,1619,486,378,110,89,18,328,74,19,49,6,0,23.43764706077418,4.138461538461539,England,77.77777777777779,22.633744855967077,67.48971193415639,25.675675675675674
2499742,1673,361,263,83,78,27,257,56,28,53,16,0,23.88483423250508,2.6589928057553958,England,72.85318559556787,22.99168975069252,71.19113573407202,50.0
2499743,1609,510,432,90,67,30,320,73,27,35,8,0,22.15112699670392,2.7036144578313253,England,84.70588235294117,17.647058823529413,62.745098039215684,36.986301369863014
2499743,1612,476,401,89,59,36,307,47,14,42,19,4,23.600572583463553,1.0627400768245838,England,84.24369747899159,18.69747899159664,64.49579831932773,29.78723404255319
2499744,1611,655,587,115,75,53,465,43,10,41,18,2,21.168269409333924,0.25,England,89.61832061068702,17.557251908396946,70.99236641221374,23.25581395348837
2499744,1631,259,194,67,54,14,158,97,19,37,10,0,22.465922048018136,4.004424778761062,England,74.9034749034749,25.868725868725868,61.003861003861005,19.587628865979383
2499745,1613,250,176,69,45,30,178,81,31,44,16,3,20.767317557896,2.7108239095315025,England,70.39999999999999,27.6,71.2,38.2716049382716
2499745,1633,444,361,96,55,10,293,70,24,64,7,0,20.32865045247892,2.404358353510896,England,81.30630630630631,21.62162162162162,65.990990990991,34.285714285714285
